"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jul 24 07:50:39 GMT 2023","Mon Jul 24 07:50:42 GMT 2023","2819","chromium","","Testing workspaces in Trello > Dele a workspace","","","Delete",""
"passed","Mon Jul 24 07:49:15 GMT 2023","Mon Jul 24 07:49:23 GMT 2023","7981","chromium","","Testing lists in Trello > Delete lists of a board","","","delete",""
"passed","Mon Jul 24 07:49:40 GMT 2023","Mon Jul 24 07:49:47 GMT 2023","6630","chromium","","Test suite > Delete a Board in Trello","","","Delete a board with UI",""
"passed","Mon Jul 24 07:50:20 GMT 2023","Mon Jul 24 07:50:28 GMT 2023","8380","chromium","","Testing cards in Trello > Updating information of a card","","","Add a cover",""
"passed","Mon Jul 24 07:49:35 GMT 2023","Mon Jul 24 07:49:40 GMT 2023","4942","chromium","","Test suite > Update board name","","","Update board name with UI",""
"passed","Mon Jul 24 07:49:03 GMT 2023","Mon Jul 24 07:49:15 GMT 2023","11684","chromium","","Testing lists in Trello > Create lists","","","Create",""
"passed","Mon Jul 24 07:50:13 GMT 2023","Mon Jul 24 07:50:20 GMT 2023","6131","chromium","","Testing cards in Trello > Updating information of a card","","","Add a checklist",""
"passed","Mon Jul 24 07:46:19 GMT 2023","Mon Jul 24 07:46:35 GMT 2023","16498","chromium","","Archive a list of a board with more than one list > Archive a list","","","Archive ""In Progress"" list",""
"passed","Mon Jul 24 07:49:47 GMT 2023","Mon Jul 24 07:50:03 GMT 2023","15713","chromium","","Testing cards in Trello > Updating information of a card","","","Add Description in a card",""
"passed","Mon Jul 24 07:50:08 GMT 2023","Mon Jul 24 07:50:13 GMT 2023","5607","chromium","","Testing cards in Trello > Updating information of a card","","","Add a label",""
"passed","Mon Jul 24 07:47:04 GMT 2023","Mon Jul 24 07:47:18 GMT 2023","14095","chromium","","Testing cards in Trello > Moving cards for the lists","","","Moving cards for the lists",""
"broken","Mon Jul 24 07:47:34 GMT 2023","Mon Jul 24 07:48:46 GMT 2023","72456","chromium","","Filter just a card for an attribute  > Creating cards with n attribute for each one","","","Adding an Attribute to all cards",""
"passed","Mon Jul 24 07:46:35 GMT 2023","Mon Jul 24 07:46:53 GMT 2023","18273","chromium","","Testing cards in Trello (Attachment) > Add attachment in a card","","","Attach a link in a card",""
"passed","Mon Jul 24 07:49:23 GMT 2023","Mon Jul 24 07:49:35 GMT 2023","12732","chromium","","Test suite > create a new board","","","create a board whit UI",""
"passed","Mon Jul 24 07:50:28 GMT 2023","Mon Jul 24 07:50:39 GMT 2023","10965","chromium","","Testing workspaces in Trello > Create a workspace","","","Create",""
"passed","Mon Jul 24 07:47:18 GMT 2023","Mon Jul 24 07:47:34 GMT 2023","15336","chromium","","Copy a cards in another list > Copy a card","","","Copy Card 01 to In Progress list",""
"failed","Mon Jul 24 07:46:53 GMT 2023","Mon Jul 24 07:47:04 GMT 2023","10598","chromium","","Testing cards in Trello > Create cards in a board","","","Create",""
"failed","Mon Jul 24 07:48:47 GMT 2023","Mon Jul 24 07:49:02 GMT 2023","15748","chromium","","Filter just a card for an attribute  > Creating cards with n attribute for each one","","","filtering card",""
"passed","Mon Jul 24 07:50:03 GMT 2023","Mon Jul 24 07:50:08 GMT 2023","5265","chromium","","Testing cards in Trello > Updating information of a card","","","Add member in a card",""
