"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 09 08:16:07 GMT 2023","Sun Jul 09 08:16:18 GMT 2023","10634","chromium","","Test suite > create a new board","","","create a board whit UI",""
"passed","Sun Jul 09 08:17:02 GMT 2023","Sun Jul 09 08:17:10 GMT 2023","8636","chromium","","Testing cards in Trello > Updating information of a card","","","Add a cover",""
"passed","Sun Jul 09 08:15:26 GMT 2023","Sun Jul 09 08:15:35 GMT 2023","8599","chromium","","Testing cards in Trello > Create cards in a board","","","Create",""
"passed","Sun Jul 09 08:15:41 GMT 2023","Sun Jul 09 08:15:55 GMT 2023","13752","chromium","","Copy a cards in another list > Copy a card","","","Copy Card 01 to In Progress list",""
"passed","Sun Jul 09 08:16:29 GMT 2023","Sun Jul 09 08:16:38 GMT 2023","8655","chromium","","Testing cards in Trello > Create cards in a board","","","Create",""
"passed","Sun Jul 09 08:15:55 GMT 2023","Sun Jul 09 08:16:02 GMT 2023","7762","chromium","","Testing lists in Trello > Create lists","","","Create",""
"passed","Sun Jul 09 08:16:46 GMT 2023","Sun Jul 09 08:16:51 GMT 2023","4850","chromium","","Testing cards in Trello > Updating information of a card","","","Add member in a card",""
"passed","Sun Jul 09 08:16:51 GMT 2023","Sun Jul 09 08:16:56 GMT 2023","5334","chromium","","Testing cards in Trello > Updating information of a card","","","Add a label",""
"passed","Sun Jul 09 08:14:34 GMT 2023","Sun Jul 09 08:14:48 GMT 2023","13489","chromium","","Archive a list of a board with more than one list > Archive a list","","","Archive ""In Progress"" list",""
"passed","Sun Jul 09 08:17:18 GMT 2023","Sun Jul 09 08:17:22 GMT 2023","4160","chromium","","Testing workspaces in Trello > Dele a workspace","","","Delete",""
"broken","Sun Jul 09 08:14:48 GMT 2023","Sun Jul 09 08:15:26 GMT 2023","37958","chromium","","Testing cards in Trello (Attachment) > Add attachment in a card","","","Attach a link in a card",""
"passed","Sun Jul 09 08:16:23 GMT 2023","Sun Jul 09 08:16:29 GMT 2023","6228","chromium","","Test suite > Delete a Board in Trello","","","Delete a board with UI",""
"passed","Sun Jul 09 08:16:38 GMT 2023","Sun Jul 09 08:16:46 GMT 2023","8232","chromium","","Testing cards in Trello > Updating information of a card","","","Add Description in a card",""
"passed","Sun Jul 09 08:16:02 GMT 2023","Sun Jul 09 08:16:07 GMT 2023","4789","chromium","","Testing lists in Trello > Delete lists of a board","","","delete",""
"passed","Sun Jul 09 08:15:35 GMT 2023","Sun Jul 09 08:15:41 GMT 2023","6190","chromium","","Testing cards in Trello > Moving cards for the lists","","","Move",""
"passed","Sun Jul 09 08:17:10 GMT 2023","Sun Jul 09 08:17:18 GMT 2023","7382","chromium","","Testing workspaces in Trello > Create a workspace","","","Create",""
"passed","Sun Jul 09 08:16:56 GMT 2023","Sun Jul 09 08:17:02 GMT 2023","5395","chromium","","Testing cards in Trello > Updating information of a card","","","Add a checklist",""
"passed","Sun Jul 09 08:16:18 GMT 2023","Sun Jul 09 08:16:23 GMT 2023","5112","chromium","","Test suite > Update board name","","","Update board name with UI",""
