"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 24 08:34:57 GMT 2023","Mon Jul 24 08:35:03 GMT 2023","6734","chromium","","Testing cards in Trello > Updating information of a card","","","Add a label",""
"passed","Mon Jul 24 08:34:26 GMT 2023","Mon Jul 24 08:34:33 GMT 2023","6491","chromium","","Test suite > Delete a Board in Trello","","","Delete a board with UI",""
"passed","Mon Jul 24 08:31:57 GMT 2023","Mon Jul 24 08:32:12 GMT 2023","15169","chromium","","Archive a list of a board with more than one list > Archive a list","","","Archive ""In Progress"" list",""
"passed","Mon Jul 24 08:35:54 GMT 2023","Mon Jul 24 08:35:59 GMT 2023","5277","chromium","","Testing workspaces in Trello > Dele a workspace","","","Delete",""
"passed","Mon Jul 24 08:34:06 GMT 2023","Mon Jul 24 08:34:20 GMT 2023","14122","chromium","","Test suite > create a new board","","","create a board whit UI",""
"passed","Mon Jul 24 08:35:03 GMT 2023","Mon Jul 24 08:35:10 GMT 2023","6509","chromium","","Testing cards in Trello > Updating information of a card","","","Add a checklist",""
"passed","Mon Jul 24 08:34:20 GMT 2023","Mon Jul 24 08:34:26 GMT 2023","5941","chromium","","Test suite > Update board name","","","Update board name with UI",""
"passed","Mon Jul 24 08:33:45 GMT 2023","Mon Jul 24 08:33:58 GMT 2023","12243","chromium","","Testing lists in Trello > Create lists","","","Create",""
"passed","Mon Jul 24 08:34:51 GMT 2023","Mon Jul 24 08:34:57 GMT 2023","6012","chromium","","Testing cards in Trello > Updating information of a card","","","Add member in a card",""
"passed","Mon Jul 24 08:34:33 GMT 2023","Mon Jul 24 08:34:51 GMT 2023","18029","chromium","","Testing cards in Trello > Updating information of a card","","","Add Description in a card",""
"passed","Mon Jul 24 08:32:55 GMT 2023","Mon Jul 24 08:33:13 GMT 2023","17437","chromium","","Copy a cards in another list > Copy a card","","","Copy Card 01 to In Progress list",""
"passed","Mon Jul 24 08:33:58 GMT 2023","Mon Jul 24 08:34:06 GMT 2023","8256","chromium","","Testing lists in Trello > Delete lists of a board","","","delete",""
"passed","Mon Jul 24 08:35:41 GMT 2023","Mon Jul 24 08:35:54 GMT 2023","13650","chromium","","Testing workspaces in Trello > Create a workspace","","","Create",""
"passed","Mon Jul 24 08:32:12 GMT 2023","Mon Jul 24 08:32:32 GMT 2023","20283","chromium","","Testing cards in Trello (Attachment) > Add attachment in a card","","","Attach a link in a card",""
"passed","Mon Jul 24 08:33:13 GMT 2023","Mon Jul 24 08:33:39 GMT 2023","26244","chromium","","Filter just a card for an attribute  > Creating cards with n attribute for each one","","","Adding an Attribute to all cards",""
"passed","Mon Jul 24 08:32:32 GMT 2023","Mon Jul 24 08:32:46 GMT 2023","13741","chromium","","Testing cards in Trello > Create cards in a board","","","Create",""
"passed","Mon Jul 24 08:33:39 GMT 2023","Mon Jul 24 08:33:45 GMT 2023","6396","chromium","","Filter just a card for an attribute  > Creating cards with n attribute for each one","","","filtering card",""
"passed","Mon Jul 24 08:32:46 GMT 2023","Mon Jul 24 08:32:55 GMT 2023","9603","chromium","","Testing cards in Trello > Moving cards for the lists","","","Moving cards for the lists",""
"passed","Mon Jul 24 08:35:10 GMT 2023","Mon Jul 24 08:35:20 GMT 2023","9782","chromium","","Testing cards in Trello > Updating information of a card","","","Add a cover",""
