"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 12 20:06:13 GMT 2023","Wed Jul 12 20:06:33 GMT 2023","19676","chromium","","Testing cards in Trello (Attachment) > Add attachment in a card","","","Attach a link in a card",""
"passed","Wed Jul 12 20:07:40 GMT 2023","Wed Jul 12 20:07:45 GMT 2023","4730","chromium","","Test suite > Update board name","","","Update board name with UI",""
"passed","Wed Jul 12 20:08:04 GMT 2023","Wed Jul 12 20:08:13 GMT 2023","8631","chromium","","Testing cards in Trello > Updating information of a card","","","Add Description in a card",""
"passed","Wed Jul 12 20:07:28 GMT 2023","Wed Jul 12 20:07:40 GMT 2023","12744","chromium","","Test suite > create a new board","","","create a board whit UI",""
"passed","Wed Jul 12 20:07:22 GMT 2023","Wed Jul 12 20:07:28 GMT 2023","6082","chromium","","Testing lists in Trello > Delete lists of a board","","","delete",""
"passed","Wed Jul 12 20:07:10 GMT 2023","Wed Jul 12 20:07:22 GMT 2023","11100","chromium","","Testing lists in Trello > Create lists","","","Create",""
"passed","Wed Jul 12 20:08:50 GMT 2023","Wed Jul 12 20:08:55 GMT 2023","4952","chromium","","Testing workspaces in Trello > Dele a workspace","","","Delete",""
"passed","Wed Jul 12 20:08:13 GMT 2023","Wed Jul 12 20:08:18 GMT 2023","5803","chromium","","Testing cards in Trello > Updating information of a card","","","Add member in a card",""
"passed","Wed Jul 12 20:06:52 GMT 2023","Wed Jul 12 20:07:10 GMT 2023","18497","chromium","","Copy a cards in another list > Copy a card","","","Copy Card 01 to In Progress list",""
"passed","Wed Jul 12 20:06:33 GMT 2023","Wed Jul 12 20:06:46 GMT 2023","12749","chromium","","Testing cards in Trello > Create cards in a board","","","Create",""
"passed","Wed Jul 12 20:08:18 GMT 2023","Wed Jul 12 20:08:24 GMT 2023","5970","chromium","","Testing cards in Trello > Updating information of a card","","","Add a label",""
"passed","Wed Jul 12 20:05:56 GMT 2023","Wed Jul 12 20:06:13 GMT 2023","17176","chromium","","Archive a list of a board with more than one list > Archive a list","","","Archive ""In Progress"" list",""
"passed","Wed Jul 12 20:07:45 GMT 2023","Wed Jul 12 20:07:52 GMT 2023","7272","chromium","","Test suite > Delete a Board in Trello","","","Delete a board with UI",""
"passed","Wed Jul 12 20:07:52 GMT 2023","Wed Jul 12 20:08:04 GMT 2023","11584","chromium","","Testing cards in Trello > Create cards in a board","","","Create",""
"passed","Wed Jul 12 20:06:46 GMT 2023","Wed Jul 12 20:06:52 GMT 2023","6279","chromium","","Testing cards in Trello > Moving cards for the lists","","","Move",""
"passed","Wed Jul 12 20:08:24 GMT 2023","Wed Jul 12 20:08:30 GMT 2023","5799","chromium","","Testing cards in Trello > Updating information of a card","","","Add a checklist",""
"passed","Wed Jul 12 20:08:39 GMT 2023","Wed Jul 12 20:08:50 GMT 2023","10667","chromium","","Testing workspaces in Trello > Create a workspace","","","Create",""
"passed","Wed Jul 12 20:08:30 GMT 2023","Wed Jul 12 20:08:39 GMT 2023","9165","chromium","","Testing cards in Trello > Updating information of a card","","","Add a cover",""
