"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 20 08:31:12 GMT 2023","Thu Jul 20 08:31:21 GMT 2023","9255","chromium","","Testing workspaces in Trello > Create a workspace","","","Create",""
"passed","Thu Jul 20 08:30:20 GMT 2023","Thu Jul 20 08:30:26 GMT 2023","6806","chromium","","Test suite > Delete a Board in Trello","","","Delete a board with UI",""
"passed","Thu Jul 20 08:30:26 GMT 2023","Thu Jul 20 08:30:36 GMT 2023","10079","chromium","","Testing cards in Trello > Create cards in a board","","","Create",""
"passed","Thu Jul 20 08:29:26 GMT 2023","Thu Jul 20 08:29:32 GMT 2023","5724","chromium","","Testing cards in Trello > Moving cards for the lists","","","Move",""
"passed","Thu Jul 20 08:30:45 GMT 2023","Thu Jul 20 08:30:51 GMT 2023","5817","chromium","","Testing cards in Trello > Updating information of a card","","","Add member in a card",""
"passed","Thu Jul 20 08:31:03 GMT 2023","Thu Jul 20 08:31:12 GMT 2023","9248","chromium","","Testing cards in Trello > Updating information of a card","","","Add a cover",""
"passed","Thu Jul 20 08:29:58 GMT 2023","Thu Jul 20 08:30:03 GMT 2023","5993","chromium","","Testing lists in Trello > Delete lists of a board","","","delete",""
"passed","Thu Jul 20 08:30:36 GMT 2023","Thu Jul 20 08:30:45 GMT 2023","8807","chromium","","Testing cards in Trello > Updating information of a card","","","Add Description in a card",""
"passed","Thu Jul 20 08:30:04 GMT 2023","Thu Jul 20 08:30:15 GMT 2023","11276","chromium","","Test suite > create a new board","","","create a board whit UI",""
"passed","Thu Jul 20 08:28:58 GMT 2023","Thu Jul 20 08:29:15 GMT 2023","16907","chromium","","Testing cards in Trello (Attachment) > Add attachment in a card","","","Attach a link in a card",""
"passed","Thu Jul 20 08:29:32 GMT 2023","Thu Jul 20 08:29:47 GMT 2023","15339","chromium","","Copy a cards in another list > Copy a card","","","Copy Card 01 to In Progress list",""
"passed","Thu Jul 20 08:29:15 GMT 2023","Thu Jul 20 08:29:26 GMT 2023","11330","chromium","","Testing cards in Trello > Create cards in a board","","","Create",""
"passed","Thu Jul 20 08:29:47 GMT 2023","Thu Jul 20 08:29:57 GMT 2023","10136","chromium","","Testing lists in Trello > Create lists","","","Create",""
"passed","Thu Jul 20 08:30:57 GMT 2023","Thu Jul 20 08:31:03 GMT 2023","5772","chromium","","Testing cards in Trello > Updating information of a card","","","Add a checklist",""
"passed","Thu Jul 20 08:30:51 GMT 2023","Thu Jul 20 08:30:57 GMT 2023","5789","chromium","","Testing cards in Trello > Updating information of a card","","","Add a label",""
"passed","Thu Jul 20 08:31:21 GMT 2023","Thu Jul 20 08:31:26 GMT 2023","4572","chromium","","Testing workspaces in Trello > Dele a workspace","","","Delete",""
"passed","Thu Jul 20 08:28:44 GMT 2023","Thu Jul 20 08:28:58 GMT 2023","14079","chromium","","Archive a list of a board with more than one list > Archive a list","","","Archive ""In Progress"" list",""
"passed","Thu Jul 20 08:30:15 GMT 2023","Thu Jul 20 08:30:20 GMT 2023","4733","chromium","","Test suite > Update board name","","","Update board name with UI",""
