"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 15 07:39:56 GMT 2023","Sat Jul 15 07:40:13 GMT 2023","16617","chromium","","Testing cards in Trello (Attachment) > Add attachment in a card","","","Attach a link in a card",""
"broken","Sat Jul 15 07:38:44 GMT 2023","Sat Jul 15 07:39:56 GMT 2023","71813","chromium","","Archive a list of a board with more than one list > Archive a list","","","Archive ""In Progress"" list",""
"broken","Sat Jul 15 07:40:13 GMT 2023","Sat Jul 15 07:41:23 GMT 2023","70702","chromium","","Copy a cards in another list > Copy a card","","","Copy Card 01 to In Progress list",""
