"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 10 04:16:45 GMT 2023","Mon Jul 10 04:16:54 GMT 2023","8772","chromium","","Testing lists in Trello > Delete lists of a board","","","delete",""
"passed","Mon Jul 10 04:16:04 GMT 2023","Mon Jul 10 04:16:12 GMT 2023","8139","chromium","","Testing cards in Trello > Moving cards for the lists","","","Move",""
"passed","Mon Jul 10 04:18:35 GMT 2023","Mon Jul 10 04:18:48 GMT 2023","13455","chromium","","Testing workspaces in Trello > Create a workspace","","","Create",""
"passed","Mon Jul 10 04:18:10 GMT 2023","Mon Jul 10 04:18:20 GMT 2023","9596","chromium","","Testing cards in Trello > Updating information of a card","","","Add a checklist",""
"passed","Mon Jul 10 04:17:27 GMT 2023","Mon Jul 10 04:17:42 GMT 2023","14813","chromium","","Testing cards in Trello > Create cards in a board","","","Create",""
"passed","Mon Jul 10 04:17:53 GMT 2023","Mon Jul 10 04:18:01 GMT 2023","8081","chromium","","Testing cards in Trello > Updating information of a card","","","Add member in a card",""
"passed","Mon Jul 10 04:18:20 GMT 2023","Mon Jul 10 04:18:35 GMT 2023","14927","chromium","","Testing cards in Trello > Updating information of a card","","","Add a cover",""
"passed","Mon Jul 10 04:17:09 GMT 2023","Mon Jul 10 04:17:17 GMT 2023","7513","chromium","","Test suite > Update board name","","","Update board name with UI",""
"passed","Mon Jul 10 04:17:42 GMT 2023","Mon Jul 10 04:17:53 GMT 2023","10971","chromium","","Testing cards in Trello > Updating information of a card","","","Add Description in a card",""
"passed","Mon Jul 10 04:18:48 GMT 2023","Mon Jul 10 04:18:55 GMT 2023","6966","chromium","","Testing workspaces in Trello > Dele a workspace","","","Delete",""
"passed","Mon Jul 10 04:16:12 GMT 2023","Mon Jul 10 04:16:32 GMT 2023","19727","chromium","","Copy a cards in another list > Copy a card","","","Copy Card 01 to In Progress list",""
"passed","Mon Jul 10 04:15:05 GMT 2023","Mon Jul 10 04:15:24 GMT 2023","18403","chromium","","Archive a list of a board with more than one list > Archive a list","","","Archive ""In Progress"" list",""
"passed","Mon Jul 10 04:15:24 GMT 2023","Mon Jul 10 04:15:50 GMT 2023","26233","chromium","","Testing cards in Trello (Attachment) > Add attachment in a card","","","Attach a link in a card",""
"passed","Mon Jul 10 04:15:50 GMT 2023","Mon Jul 10 04:16:04 GMT 2023","13655","chromium","","Testing cards in Trello > Create cards in a board","","","Create",""
"passed","Mon Jul 10 04:16:32 GMT 2023","Mon Jul 10 04:16:45 GMT 2023","13394","chromium","","Testing lists in Trello > Create lists","","","Create",""
"passed","Mon Jul 10 04:17:17 GMT 2023","Mon Jul 10 04:17:27 GMT 2023","10680","chromium","","Test suite > Delete a Board in Trello","","","Delete a board with UI",""
"passed","Mon Jul 10 04:18:01 GMT 2023","Mon Jul 10 04:18:10 GMT 2023","8857","chromium","","Testing cards in Trello > Updating information of a card","","","Add a label",""
"passed","Mon Jul 10 04:16:54 GMT 2023","Mon Jul 10 04:17:09 GMT 2023","15498","chromium","","Test suite > create a new board","","","create a board whit UI",""
