"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 20 19:20:17 GMT 2023","Thu Jul 20 19:20:30 GMT 2023","12571","chromium","","Archive a list of a board with more than one list > Archive a list","","","Archive ""In Progress"" list",""
"failed","Thu Jul 20 19:22:46 GMT 2023","Thu Jul 20 19:22:50 GMT 2023","4480","chromium","","Test suite > Delete a Board in Trello","","","Delete a board with UI",""
"broken","Thu Jul 20 19:23:31 GMT 2023","Thu Jul 20 19:24:36 GMT 2023","65092","chromium","","Testing workspaces in Trello > Create a workspace","","","Create",""
"passed","Thu Jul 20 19:20:59 GMT 2023","Thu Jul 20 19:21:13 GMT 2023","13363","chromium","","Copy a cards in another list > Copy a card","","","Copy Card 01 to In Progress list",""
"passed","Thu Jul 20 19:20:54 GMT 2023","Thu Jul 20 19:20:59 GMT 2023","5036","chromium","","Testing cards in Trello > Moving cards for the lists","","","Move",""
"failed","Thu Jul 20 19:24:36 GMT 2023","Thu Jul 20 19:24:41 GMT 2023","4995","chromium","","Testing workspaces in Trello > Dele a workspace","","","Delete",""
"passed","Thu Jul 20 19:22:59 GMT 2023","Thu Jul 20 19:23:08 GMT 2023","8429","chromium","","Testing cards in Trello > Updating information of a card","","","Add Description in a card",""
"broken","Thu Jul 20 19:21:29 GMT 2023","Thu Jul 20 19:22:36 GMT 2023","67090","chromium","","Test suite > create a new board","","","create a board whit UI",""
"passed","Thu Jul 20 19:22:50 GMT 2023","Thu Jul 20 19:22:59 GMT 2023","8787","chromium","","Testing cards in Trello > Create cards in a board","","","Create",""
"passed","Thu Jul 20 19:23:17 GMT 2023","Thu Jul 20 19:23:23 GMT 2023","5214","chromium","","Testing cards in Trello > Updating information of a card","","","Add a checklist",""
"passed","Thu Jul 20 19:21:21 GMT 2023","Thu Jul 20 19:21:29 GMT 2023","8312","chromium","","Testing lists in Trello > Delete lists of a board","","","delete",""
"passed","Thu Jul 20 19:23:23 GMT 2023","Thu Jul 20 19:23:31 GMT 2023","7925","chromium","","Testing cards in Trello > Updating information of a card","","","Add a cover",""
"passed","Thu Jul 20 19:23:08 GMT 2023","Thu Jul 20 19:23:12 GMT 2023","4662","chromium","","Testing cards in Trello > Updating information of a card","","","Add member in a card",""
"passed","Thu Jul 20 19:22:36 GMT 2023","Thu Jul 20 19:22:46 GMT 2023","9025","chromium","","Test suite > Update board name","","","Update board name with UI",""
"passed","Thu Jul 20 19:21:13 GMT 2023","Thu Jul 20 19:21:21 GMT 2023","7975","chromium","","Testing lists in Trello > Create lists","","","Create",""
"passed","Thu Jul 20 19:23:12 GMT 2023","Thu Jul 20 19:23:17 GMT 2023","5161","chromium","","Testing cards in Trello > Updating information of a card","","","Add a label",""
"passed","Thu Jul 20 19:20:30 GMT 2023","Thu Jul 20 19:20:46 GMT 2023","16153","chromium","","Testing cards in Trello (Attachment) > Add attachment in a card","","","Attach a link in a card",""
"passed","Thu Jul 20 19:20:46 GMT 2023","Thu Jul 20 19:20:54 GMT 2023","8191","chromium","","Testing cards in Trello > Create cards in a board","","","Create",""
