"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 15 07:19:44 GMT 2023","Sat Jul 15 07:19:59 GMT 2023","15316","chromium","","Testing cards in Trello (Attachment) > Add attachment in a card","","","Attach a link in a card",""
"broken","Sat Jul 15 07:19:59 GMT 2023","Sat Jul 15 07:21:07 GMT 2023","67674","chromium","","Copy a cards in another list > Copy a card","","","Copy Card 01 to In Progress list",""
"passed","Sat Jul 15 07:19:32 GMT 2023","Sat Jul 15 07:19:44 GMT 2023","11888","chromium","","Archive a list of a board with more than one list > Archive a list","","","Archive ""In Progress"" list",""
