"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 01 20:58:53 GMT 2023","Tue Aug 01 20:59:02 GMT 2023","9364","chromium","","Testing workspaces in Trello > Create a workspace","","","Create",""
"passed","Tue Aug 01 20:57:53 GMT 2023","Tue Aug 01 20:58:05 GMT 2023","11866","chromium","","Test suite > create a new board","","","create a board whit UI",""
"passed","Tue Aug 01 20:58:31 GMT 2023","Tue Aug 01 20:58:36 GMT 2023","4519","chromium","","Testing cards in Trello > Updating information of a card","","","Add member in a card",""
"passed","Tue Aug 01 20:58:36 GMT 2023","Tue Aug 01 20:58:41 GMT 2023","4819","chromium","","Testing cards in Trello > Updating information of a card","","","Add a label",""
"passed","Tue Aug 01 20:59:02 GMT 2023","Tue Aug 01 20:59:06 GMT 2023","3332","chromium","","Testing workspaces in Trello > Dele a workspace","","","Delete",""
"passed","Tue Aug 01 20:56:55 GMT 2023","Tue Aug 01 20:57:10 GMT 2023","14394","chromium","","Copy a cards in another list > Copy a card","","","Copy Card 01 to In Progress list",""
"passed","Tue Aug 01 20:57:46 GMT 2023","Tue Aug 01 20:57:53 GMT 2023","7018","chromium","","Testing lists in Trello > Delete lists of a board","","","delete",""
"passed","Tue Aug 01 20:56:17 GMT 2023","Tue Aug 01 20:56:35 GMT 2023","18314","chromium","","Testing cards in Trello (Attachment) > Add attachment in a card","","","Attach a link in a card",""
"passed","Tue Aug 01 20:56:04 GMT 2023","Tue Aug 01 20:56:17 GMT 2023","13247","chromium","","Archive a list of a board with more than one list > Archive a list","","","Archive ""In Progress"" list",""
"passed","Tue Aug 01 20:57:31 GMT 2023","Tue Aug 01 20:57:36 GMT 2023","4788","chromium","","Filter just a card for an attribute  > Creating cards with an attribute for each one","","","filtering card",""
"passed","Tue Aug 01 20:57:36 GMT 2023","Tue Aug 01 20:57:46 GMT 2023","10478","chromium","","Testing lists in Trello > Create lists","","","Create",""
"passed","Tue Aug 01 20:56:35 GMT 2023","Tue Aug 01 20:56:47 GMT 2023","11782","chromium","","Testing cards in Trello > Create cards in a board","","","Create",""
"passed","Tue Aug 01 20:58:05 GMT 2023","Tue Aug 01 20:58:09 GMT 2023","4223","chromium","","Test suite > Update board name","","","Update board name with UI",""
"passed","Tue Aug 01 20:58:09 GMT 2023","Tue Aug 01 20:58:16 GMT 2023","6167","chromium","","Test suite > Delete a Board in Trello","","","Delete a board with UI",""
"passed","Tue Aug 01 20:58:16 GMT 2023","Tue Aug 01 20:58:31 GMT 2023","15931","chromium","","Testing cards in Trello > Updating information of a card","","","Add Description in a card",""
"passed","Tue Aug 01 20:57:10 GMT 2023","Tue Aug 01 20:57:31 GMT 2023","21416","chromium","","Filter just a card for an attribute  > Creating cards with an attribute for each one","","","Adding an Attribute to all cards",""
"passed","Tue Aug 01 20:56:47 GMT 2023","Tue Aug 01 20:56:55 GMT 2023","7947","chromium","","Testing cards in Trello > Moving cards for the lists","","","Moving cards for the lists",""
"passed","Tue Aug 01 20:58:41 GMT 2023","Tue Aug 01 20:58:45 GMT 2023","4689","chromium","","Testing cards in Trello > Updating information of a card","","","Add a checklist",""
"passed","Tue Aug 01 20:58:45 GMT 2023","Tue Aug 01 20:58:53 GMT 2023","7567","chromium","","Testing cards in Trello > Updating information of a card","","","Add a cover",""
