"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 24 07:09:35 GMT 2023","Mon Jul 24 07:09:50 GMT 2023","15121","chromium","","Testing cards in Trello > Moving cards for the lists","","","Moving cards for the lists",""
"broken","Mon Jul 24 07:10:08 GMT 2023","Mon Jul 24 07:11:22 GMT 2023","74252","chromium","","Filter just a card for an attribute  > Creating cards with n attribute for each one","","","Adding an Attribute to all cards",""
"passed","Mon Jul 24 07:09:03 GMT 2023","Mon Jul 24 07:09:22 GMT 2023","19390","chromium","","Testing cards in Trello (Attachment) > Add attachment in a card","","","Attach a link in a card",""
"passed","Mon Jul 24 07:11:45 GMT 2023","Mon Jul 24 07:11:59 GMT 2023","13446","chromium","","Testing lists in Trello > Create lists","","","Create",""
"passed","Mon Jul 24 07:12:23 GMT 2023","Mon Jul 24 07:12:29 GMT 2023","5537","chromium","","Test suite > Update board name","","","Update board name with UI",""
"passed","Mon Jul 24 07:13:19 GMT 2023","Mon Jul 24 07:13:30 GMT 2023","10462","chromium","","Testing workspaces in Trello > Create a workspace","","","Create",""
"passed","Mon Jul 24 07:12:36 GMT 2023","Mon Jul 24 07:12:53 GMT 2023","17456","chromium","","Testing cards in Trello > Updating information of a card","","","Add Description in a card",""
"failed","Mon Jul 24 07:09:22 GMT 2023","Mon Jul 24 07:09:35 GMT 2023","12528","chromium","","Testing cards in Trello > Create cards in a board","","","Create",""
"failed","Mon Jul 24 07:11:22 GMT 2023","Mon Jul 24 07:11:45 GMT 2023","22200","chromium","","Filter just a card for an attribute  > Creating cards with n attribute for each one","","","filtering card",""
"passed","Mon Jul 24 07:12:53 GMT 2023","Mon Jul 24 07:12:59 GMT 2023","5820","chromium","","Testing cards in Trello > Updating information of a card","","","Add member in a card",""
"passed","Mon Jul 24 07:12:07 GMT 2023","Mon Jul 24 07:12:23 GMT 2023","16086","chromium","","Test suite > create a new board","","","create a board whit UI",""
"passed","Mon Jul 24 07:08:47 GMT 2023","Mon Jul 24 07:09:03 GMT 2023","15620","chromium","","Archive a list of a board with more than one list > Archive a list","","","Archive ""In Progress"" list",""
"passed","Mon Jul 24 07:13:05 GMT 2023","Mon Jul 24 07:13:11 GMT 2023","5871","chromium","","Testing cards in Trello > Updating information of a card","","","Add a checklist",""
"passed","Mon Jul 24 07:13:11 GMT 2023","Mon Jul 24 07:13:19 GMT 2023","8711","chromium","","Testing cards in Trello > Updating information of a card","","","Add a cover",""
"passed","Mon Jul 24 07:12:29 GMT 2023","Mon Jul 24 07:12:36 GMT 2023","6779","chromium","","Test suite > Delete a Board in Trello","","","Delete a board with UI",""
"passed","Mon Jul 24 07:12:59 GMT 2023","Mon Jul 24 07:13:05 GMT 2023","5834","chromium","","Testing cards in Trello > Updating information of a card","","","Add a label",""
"passed","Mon Jul 24 07:09:50 GMT 2023","Mon Jul 24 07:10:08 GMT 2023","17430","chromium","","Copy a cards in another list > Copy a card","","","Copy Card 01 to In Progress list",""
"passed","Mon Jul 24 07:11:59 GMT 2023","Mon Jul 24 07:12:07 GMT 2023","8808","chromium","","Testing lists in Trello > Delete lists of a board","","","delete",""
"failed","Mon Jul 24 07:13:30 GMT 2023","Mon Jul 24 07:13:33 GMT 2023","2915","chromium","","Testing workspaces in Trello > Dele a workspace","","","Delete",""
