"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Jul 12 18:06:37 GMT 2023","Wed Jul 12 18:06:37 GMT 2023","0","chromium","","Testing cards in Trello > Updating information of a card","","","Add a checklist",""
"skipped","Wed Jul 12 18:06:34 GMT 2023","Wed Jul 12 18:06:34 GMT 2023","1","chromium","","Testing cards in Trello > Moving cards for the lists","","","Move",""
"skipped","Wed Jul 12 18:06:35 GMT 2023","Wed Jul 12 18:06:35 GMT 2023","0","chromium","","Testing lists in Trello > Delete lists of a board","","","delete",""
"skipped","Wed Jul 12 18:06:37 GMT 2023","Wed Jul 12 18:06:37 GMT 2023","0","chromium","","Testing cards in Trello > Updating information of a card","","","Add a label",""
"failed","Wed Jul 12 18:06:35 GMT 2023","Wed Jul 12 18:06:35 GMT 2023","63","chromium","","Testing lists in Trello > Create lists","","","Create",""
"skipped","Wed Jul 12 18:06:36 GMT 2023","Wed Jul 12 18:06:36 GMT 2023","0","chromium","","Test suite > Update board name","","","Update board name with UI",""
"skipped","Wed Jul 12 18:06:37 GMT 2023","Wed Jul 12 18:06:37 GMT 2023","0","chromium","","Testing cards in Trello > Updating information of a card","","","Add Description in a card",""
"failed","Wed Jul 12 18:06:34 GMT 2023","Wed Jul 12 18:06:34 GMT 2023","64","chromium","","Copy a cards in another list > Copy a card","","","Copy Card 01 to In Progress list",""
"skipped","Wed Jul 12 18:06:37 GMT 2023","Wed Jul 12 18:06:37 GMT 2023","0","chromium","","Testing cards in Trello > Updating information of a card","","","Add member in a card",""
"failed","Wed Jul 12 18:06:38 GMT 2023","Wed Jul 12 18:06:38 GMT 2023","62","chromium","","Testing workspaces in Trello > Create a workspace","","","Create",""
"failed","Wed Jul 12 18:06:33 GMT 2023","Wed Jul 12 18:06:33 GMT 2023","64","chromium","","Testing cards in Trello (Attachment) > Add attachment in a card","","","Attach a link in a card",""
"failed","Wed Jul 12 18:06:33 GMT 2023","Wed Jul 12 18:06:34 GMT 2023","63","chromium","","Testing cards in Trello > Create cards in a board","","","Create",""
"skipped","Wed Jul 12 18:06:37 GMT 2023","Wed Jul 12 18:06:37 GMT 2023","1","chromium","","Testing cards in Trello > Updating information of a card","","","Add a cover",""
"failed","Wed Jul 12 18:06:37 GMT 2023","Wed Jul 12 18:06:37 GMT 2023","64","chromium","","Testing cards in Trello > Create cards in a board","","","Create",""
"skipped","Wed Jul 12 18:06:38 GMT 2023","Wed Jul 12 18:06:38 GMT 2023","0","chromium","","Testing workspaces in Trello > Dele a workspace","","","Delete",""
"failed","Wed Jul 12 18:06:36 GMT 2023","Wed Jul 12 18:06:36 GMT 2023","65","chromium","","Test suite > create a new board","","","create a board whit UI",""
"skipped","Wed Jul 12 18:06:36 GMT 2023","Wed Jul 12 18:06:36 GMT 2023","1","chromium","","Test suite > Delete a Board in Trello","","","Delete a board with UI",""
"failed","Wed Jul 12 18:06:32 GMT 2023","Wed Jul 12 18:06:32 GMT 2023","65","chromium","","Archive a list of a board with more than one list > Archive a list","","","Archive ""In Progress"" list",""
